licitacao,unidade,objeto,modalidade,criterio_julgamento,data_publicacao,data_limite_proposta,data_abertura_sessao,status
CC 001/21,SETRANS - SECRETARIA DE ESTADO DE TRANSPORTES,MODELAGEM SPTA,CONCORRÊNCIA,TÉCNICA E PREÇO,21/10/2021 14:00:00,09/12/2021 10:30:00,09/12/2021 10:31:00,CREDENCIAMENTO
CC 001/23,SETRANS - SECRETARIA DE ESTADO DE TRANSPORTES,ESTUDO DE VIABILIDADE (EVTJEA),CONCORRÊNCIA,TÉCNICA E PREÇO,23/10/2023 15:52:00,19/12/2023 10:00:00,19/12/2023 10:05:00,AGUARDANDO ABERTURA DE SESSÃO
CC 002/23,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,DER-Obr Imp RJ-204 Ent RJ228 ent BR101,CONCORRÊNCIA,MENOR PREÇO,09/02/2023 11:15:00,01/03/2023 14:59:00,01/03/2023 15:00:00,EXAME DE CONFORMIDADE
CC 002/23,ITERJ - INSTIT DE TERRAS E CARTOGRAFIA DO EST DO RJ,SRP - Asfalto,CONCORRÊNCIA,MENOR PREÇO,02/08/2023 15:00:00,01/09/2023 15:50:00,01/09/2023 16:00:00,HABILITAÇÃO DOS FORNECEDORES
CC 002/23,RIOTRILHOS - COMP DE TRANSP SOBRE TRILHOS DO EST DO RJ,Permissão de Uso - Área Remanescente 501,CONCORRÊNCIA,MENOR PREÇO,12/12/2023 16:30:00,17/01/2024 09:30:00,17/01/2024 10:00:00,AGUARDANDO ABERTURA DE SESSÃO
CC 002/23,FAETEC - CCF - FUND DE APOIO À ESCOLA TÉCNICA DO EST DO RJ,Obra de construção da Unidade Bangu no C,CONCORRÊNCIA,MENOR PREÇO,15/03/2024 08:00:00,16/04/2024 13:59:00,16/04/2024 14:00:00,CREDENCIAMENTO
CC 003/22,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,DER-Obras Pav Dren Con Sin RJ 134,CONCORRÊNCIA,MENOR PREÇO,07/10/2022 16:56:00,18/10/2022 10:59:00,18/10/2022 11:00:00,CREDENCIAMENTO
CC 004/23,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,DER-Obras Pav Proj Exec trecho 1 RJ104,CONCORRÊNCIA,MENOR PREÇO,07/02/2023 09:52:00,14/03/2023 10:59:00,14/03/2023 11:00:00,HABILITAÇÃO DOS FORNECEDORES
CC 004/23,UENF - UNIV EST DO NORTE FLUMINENSE DARCY RIB,Obras Complementação dos Prédios P6 e P7,CONCORRÊNCIA,MENOR PREÇO,25/07/2023 10:00:00,01/08/2023 09:00:00,01/08/2023 09:10:00,CREDENCIAMENTO
CC 008/23,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,DER - OBRAS DE CONT ENCOSTAS NA RJ-106,CONCORRÊNCIA,MENOR PREÇO,29/06/2023 16:15:00,10/08/2023 10:59:00,10/08/2023 11:00:00,HABILITAÇÃO DOS FORNECEDORES
CC 009/19,INEA - INSTITUTO ESTADUAL DO AMBIENTE,Manut Corpos Hídricos Baía de  Guanabara,CONCORRÊNCIA,MENOR PREÇO,08/01/2021 12:20:00,08/01/2021 12:25:00,08/01/2021 12:30:00,AGUARDANDO HOMOLOGAÇÃO
CC 01/23,SEIOP - SECRETARIA DE ESTADO DE INFRAESTRUTURA E OBRAS PUBLICAS - SEIOP,"CONSTR DE PONTE,DRENAGEM,PAVIMENTAÇÃO",CONCORRÊNCIA,MENOR PREÇO,14/08/2023 16:50:00,19/09/2023 11:00:00,19/09/2023 11:10:00,AGUARDANDO HOMOLOGAÇÃO
CC 010/23,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,DER-Obras RJ-240 acesso ao Porto do Açu,CONCORRÊNCIA,MENOR PREÇO,21/07/2023 15:15:00,29/08/2023 10:59:00,29/08/2023 11:00:00,HABILITAÇÃO DOS FORNECEDORES
CC 010/23,INEA - INSTITUTO ESTADUAL DO AMBIENTE,CÓRREGO DO BIQUINHO - VALENÇA,CONCORRÊNCIA,MENOR PREÇO,05/12/2023 08:00:00,03/01/2024 10:30:00,03/01/2024 11:00:00,HABILITAÇÃO DOS FORNECEDORES
CC 011/22,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,DER-Obras Recup Pav Recap Remend RJ-127,CONCORRÊNCIA,MENOR PREÇO,21/07/2022 10:59:00,25/08/2022 14:59:00,25/08/2022 15:00:00,CLASSIFICAÇÃO
CC 017/23,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,DER-Obras Rec. Passarela RJ-104 Km 21.3,CONCORRÊNCIA,MENOR PREÇO,21/07/2023 15:20:00,25/08/2023 10:59:00,25/08/2023 11:00:00,EXAME DE CONFORMIDADE
CC 038/22,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,DER-Obra Implan Terrap RJ162,CONCORRÊNCIA,MENOR PREÇO,07/11/2022 18:05:00,06/12/2022 10:59:00,06/12/2022 11:00:00,HOMOLOGADO
CC 13/23,SEIOP - SECRETARIA DE ESTADO DE INFRAESTRUTURA E OBRAS PUBLICAS - SEIOP,RECUPERAÇÃO DO CANAL DAS VELHAS CAXIAS,CONCORRÊNCIA,MENOR PREÇO,11/10/2023 15:45:00,10/11/2023 11:00:00,10/11/2023 11:10:00,HABILITAÇÃO DOS FORNECEDORES
CC 14/23,SEIOP - SECRETARIA DE ESTADO DE INFRAESTRUTURA E OBRAS PUBLICAS - SEIOP,MACRODRENAGEM DO CANAL GASPAR VENTURA,CONCORRÊNCIA,MENOR PREÇO,08/12/2023 11:00:00,09/01/2024 11:00:00,09/01/2024 11:10:00,CREDENCIAMENTO
CC 33/22,SEIOP - SECRETARIA DE ESTADO DE INFRAESTRUTURA E OBRAS PUBLICAS - SEIOP,SISTEMA VIÁRIO 4 PONTES,CONCORRÊNCIA,MENOR PREÇO,22/11/2022 11:42:00,29/11/2022 10:50:00,29/11/2022 11:00:00,EXAME DE CONFORMIDADE
CC-001/23,FUNESBOM - FUNDO ESPECIAL DO CORPO DE BOMBEIROS,CBMERJ - Projeto do Novo Hospital,CONCORRÊNCIA,TÉCNICA E PREÇO,15/03/2024 09:00:00,01/04/2024 09:00:00,01/04/2024 09:30:00,EXAME DE CONFORMIDADE
CC-002/23,FUNESBOM - FUNDO ESPECIAL DO CORPO DE BOMBEIROS,CBMERJ - Reforma do Complexo CEICS,CONCORRÊNCIA,MENOR PREÇO,27/03/2024 10:30:00,09/05/2024 09:29:00,09/05/2024 09:30:00,CREDENCIAMENTO
CC0001/22,SECC - SECRETARIA DE ESTADO DA CASA CIVIL,SERVIÇO POUPA TEMPO,CONCORRÊNCIA,MENOR PREÇO,16/01/2023 11:10:00,23/01/2023 10:00:00,23/01/2023 10:30:00,EXAME DE CONFORMIDADE
